,,,Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,,
80,243710,4 Wire Jacket 1xDCC Modul 8B3251,90°,,,,7.42,,,,,,8.12,,,,,,,,,,,,,,,15.92,,,,,10,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25,1.19
81,243711,2 Wire Jacket 1xDCC Modul 8B3252,90°,,,7.77,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,10,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48,1.06
82,243713,Twisted Wires 1xDCC Modul 8B3253,180°,6.9,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.78,1
83,243715,Twisted Wires 1xDCC Modul 8B3254,180°,6.9,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.71,0.91
84,236728,4 Wire Jacket 1xDCC Modul 85H251_,60°,,,,8.42,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.13,1.15
85,236729,2 Wire Jacket 1xDCC Modul 85H251B,180°,,,8.24,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.38,0.94
86,236730,6 Wire Jacket 2xDCC Modul 85H251D,60° & 90°B,,,,,,8.42,,,,,12,,,5.44,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.97,2.08
87,236731,4 Wire Jacket 2xDCC Modul 85H251F,60° & 90°B,,,,8.42,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.65,1.93
88,238847,2 Wire Jacket 1xDCC Modul 85H251G,60°,,,8.42,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.01,1.02
89,239726,4 Wire Jacket 2xDCC Modul 85H251J,180° & 90°B,,,,8.24,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02,1.85
90,239727,6 Wire Jacket 2xDCC Modul 85H251L,180° & 90°B,,,,,,8.24,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.34,2.01
91,241596,4 Wire Jacket 1xDCC Modul 85H251M,180°,,,,8.24,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,1.08
92,241608,2 Wire Jacket 1xDCC Modul 85H251N,180°,,,10.26,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,0.97
93,241612,2 Wire Jacket 1xDCC Modul 85H251P,60°,,,10.44,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03,1.05
94,243677,4 Wire Jacket 1xDCC Modul 85H251R,60°,,,,10.44,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.15,1.19
95,234678,4 Wire Jacket 1xDCC Modul 85H252_,60°,,,,7.52,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.23,1.14
96,225679,4 Wire Jacket 1xDCC Modul 85H252B,180°,,,,7.34,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,1.06
97,216680,6 Wire Jacket 2xDCC Modul 85H252D,60° & 90°B,,,,,,7.52,,,,,12,,,5.44,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.07,2.07
98,207681,6 Wire Jacket 2xDCC Modul 85H252F,180° & 90°B,,,,,,7.34,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.44,1.99
99,198682,4 Wire Jacket 2xDCC Modul 85H255_,180° & 90°B,,,,8.02,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.44,1.91
100,189683,4 Wire Jacket 2xDCC Modul 85H255A,180° & 90°B,,,,8.04,,,,,,8.12,,,,,,,,,28.16,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,1.97
101,180684,"Twisted Wires 1xDCC Modul 85H253,254",180°,6.57,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37,1.07
102,243692,"4 Wire Jacket 2xDCC Modul 95C311 N,P",60° & 90°B,,,,7.37,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.96,1.85
103,243693,"4 Wire Jacket 2xDCC Modul 95C312 F,G",60° & 90°B,,,,7.37,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.96,1.85
104,243694,"Twisted Wires 1xDCC Modul 95C311 M,N",60°,6.97,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42,0.97
105,243695,Twisted Wires 1xDCC Modul 95C311 P,60°,6.97,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59,0.93
106,243696,"Twisted Wires 1xDCC Modul 95C312 _,F",60°,6.97,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42,0.97
107,243697,Twisted Wires 1xDCC Modul 95C312 G,60°,6.97,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59,0.93
108,243698,Twisted Wires 1xDCC Modul 95C311 P,180°,6.99,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,0.91
109,243699,Twisted Wires 1xDCC Modul 95C312 G,180°,6.99,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,0.91
110,243689,4 Wire Jacket 1xDCC Modul 85F252_,60°,,,,8.01,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.72,1.15
111,243690,4 Wire Jacket 1xDCC Modul 85F252B,60°,,,,7.83,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54,1.14
112,243691,"Twisted Wires 1xDCC Modul 85F253,254",180°,6.76,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.56,1.08
113,248500,6 Wire Jacket 2xDCC Modul 85F264_,60° & 90°B,,,,,,8.02,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.93,2.02
114,248501,4 Wire Jacket 2xDCC Modul 85F255,180° & 90°B,,,,7.88,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3,1.91
115,251765,2 Wire Jacket 1xDCC Modul 85F251B,60°,,,8.86,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.45,1.02
116,251766,2 Wire Jacket 1xDCC Modul 85F251D,60°,,,9.04,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.63,1.03
117,251767,2 Wire Jacket 1xDCC Modul 85F251H,60°,,,11.1,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69,1.06
118,251768,2 Wire Jacket 1xDCC Modul 85F251J,60°,,,11.29,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.88,1.06
119,251769,6 Wire Jacket 2xDCC Modul 85F263_,60° & 90°B,,,,,,9.05,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.96,2.03
120,251770,6 Wire Jacket 2xDCC Modul 85F263A,60° & 90°B,,,,,,11.25,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.16,2.07
121,236380,"4 Wire Jacket 2xDCC Modul 85F265_,A",60° & 180°,,,,7.06,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,17.91,,,,,,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.91,1.93
122,236381,4 Wire Jacket 2xDCC Modul 85F266_,60° & 180°,,,,7.06,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,17.91,,,,,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.91,1.93
123,236415,"Twisted Wires 1xDCC Modul 85F265_,A",90°B,6.68,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87,0.88
124,236416,Twisted Wires 1xDCC Modul 85F266,90°B,6.68,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87,0.88
125,236375,Twisted Wires 1xDCC Modul 85F265_,90°B,6.81,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.07,0.97
126,236376,"Twisted Wires 1xDCC Modul 85F265A,266",90°B,6.81,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0.88
127,243716,4 Wire Jacket 1xDCC Modul 4MN251,60°,,,,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74,0.78
128,243717,2 Wire Jacket 1xDCC Modul 4MN252,60°,,,6.85,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,0.93
129,243718,Twisted Wires 1xDCC Modul 4MN253,90°B,6.91,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58,0.99
130,243719,Twisted Wires 1xDCC Modul 4MN254,90°B,7.45,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12,1
131,243910,4 Wire Jacket 1xDCC Modul 7T0903S,90°B,,,,7.49,,,,,,8.12,,,,,13.4,,,,14.08,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17,1.32
